archivo,edad_real,genero_real,edad_faceapi,genero_faceapi,error_faceapi,edad_human,genero_human,error_human,edad_mesh,genero_mesh,error_mesh
"55_0_3_20170119211432745.jpg.chip.jpg","55","male","","","","49.3","male","-5.70","57.54228210449219","male","2.54"
"68_0_0_20170117172902192.jpg.chip.jpg","68","male","74.22692108154297","male","6.23","69.1","","1.10","68.16583251953125","male","0.17"
"58_0_0_20170111204009616.jpg.chip.jpg","58","male","59.55321502685547","male","1.55","69.1","male","11.10","56.668846130371094","male","-1.33"
"20_1_0_20170103175447799.jpg.chip.jpg","20","female","","","","28.7","female","8.70","34.27325439453125","female","14.27"
"22_0_0_20170117134610684.jpg.chip.jpg","22","male","","","","28.6","male","6.60","24.123489379882812","male","2.12"
"45_1_0_20170117175326912.jpg.chip.jpg","45","female","61.298255920410156","female","16.30","36.3","female","-8.70","54.48662567138672","female","9.49"
"32_1_0_20170116214216387.jpg.chip.jpg","32","female","","","","39","female","7.00","45.333229064941406","female","13.33"
"70_0_3_20170119210228526.jpg.chip.jpg","70","male","","","","39.1","male","-30.90","66.734130859375","male","-3.27"
"39_0_0_20170103183230555.jpg.chip.jpg","39","male","","","","38.8","male","-0.20","46.880950927734375","male","7.88"
"32_1_1_20170112215044104.jpg.chip.jpg","32","female","","","","28.8","female","-3.20","21.06125831604004","female","-10.94"
"41_0_2_20170105164126307.jpg.chip.jpg","41","male","48.10472869873047","female","7.10","29","male","-12.00","46.50688934326172","female","5.51"
"32_0_4_20170104000716333.jpg.chip.jpg","32","male","37.14459991455078","male","5.14","38.6","male","6.60","34.62836837768555","male","2.63"
"56_0_0_20170111211431463.jpg.chip.jpg","56","male","56.86767578125","male","0.87","29.1","male","-26.90","55.873233795166016","male","-0.13"
"28_1_2_20170116190127787.jpg.chip.jpg","28","female","","","","29.3","female","1.30","28.944889068603516","female","0.94"
"32_1_1_20170115235516131.jpg.chip.jpg","32","female","","","","29.5","female","-2.50","29.55524253845215","female","-2.44"
"2_0_0_20170110213128362.jpg.chip.jpg","2","male","","","","","female","","1.7653717994689941","male","-0.23"
"19_0_0_20170105184049223.jpg.chip.jpg","19","male","","","","28.8","male","9.80","26.291229248046875","male","7.29"
"28_0_1_20170117020144774.jpg.chip.jpg","28","male","","","","29.3","male","1.30","43.418121337890625","male","15.42"
"1_0_2_20161219222459119.jpg.chip.jpg","1","male","","","","","female","","0.9007254838943481","female","-0.10"
"64_0_0_20170120222952994.jpg.chip.jpg","64","male","65.9832534790039","male","1.98","39.1","male","-24.90","62.677913665771484","male","-1.32"
"41_1_0_20170117133203334.jpg.chip.jpg","41","female","","","","69.1","female","28.10","63.93833923339844","female","22.94"
"33_1_0_20170117182546605.jpg.chip.jpg","33","female","","","","29.4","female","-3.60","29.910682678222656","female","-3.09"
"24_1_2_20170116171548627.jpg.chip.jpg","24","female","22.870790481567383","female","-1.13","29.6","female","5.60","24.59477996826172","female","0.59"
"80_0_1_20170111205621738.jpg.chip.jpg","80","male","71.7188949584961","male","-8.28","48.7","male","-31.30","69.6967544555664","male","-10.30"
"45_0_0_20170116212320846.jpg.chip.jpg","45","male","","","","39.3","male","-5.70","52.22320556640625","male","7.22"
