archivo,edad_real,genero_real,edad_faceapi,error_faceapi,edad_human,error_human
"28_1_1_20170113012030016.jpg.chip.jpg","28","female","29.477750778198242","1.48","28.6","0.60"
"37_0_3_20170119202236501.jpg.chip.jpg","37","male","","","38.8","1.80"
"34_0_2_20170105172336996.jpg.chip.jpg","34","male","","","38.7","4.70"
"22_1_2_20170116172137259.jpg.chip.jpg","22","female","","","28.7","6.70"
"21_1_0_20170117141834506.jpg.chip.jpg","21","female","","","23.5","2.50"
"37_0_3_20170119202316062.jpg.chip.jpg","37","male","","","38.9","1.90"
"7_1_0_20170104005639246.jpg.chip.jpg","7","female","","","29.3","22.30"
"27_1_1_20170117013845090.jpg.chip.jpg","27","female","","","23.5","-3.50"
"1_0_0_20170110205339425.jpg.chip.jpg","1","male","0.8965566158294678","-0.10","",""
"26_1_1_20170116223109423.jpg.chip.jpg","26","female","33.53669738769531","7.54","29.4","3.40"
"60_0_0_20170120223110723.jpg.chip.jpg","60","male","64.68218994140625","4.68","48.8","-11.20"
"47_1_0_20170117140100071.jpg.chip.jpg","47","female","","","29.3","-17.70"
"30_1_0_20170104165043953.jpg.chip.jpg","30","female","","","16","-14.00"
"65_0_1_20170113182137398.jpg.chip.jpg","65","male","","","39.2","-25.80"
"30_0_1_20170117123910079.jpg.chip.jpg","30","male","","","29.3","-0.70"
"28_0_1_20170116212304502.jpg.chip.jpg","28","male","26.545616149902344","-1.45","28.6","0.60"
"3_0_2_20161219190552779.jpg.chip.jpg","3","male","2.74678897857666","-0.25","8.9","5.90"
"6_1_1_20170103223434927.jpg.chip.jpg","6","female","","","22.6","16.60"
"34_0_0_20170117182747501.jpg.chip.jpg","34","male","38.69410705566406","4.69","34.4","0.40"
"65_0_0_20170117204724913.jpg.chip.jpg","65","male","","","39.2","-25.80"
"40_0_0_20170104201930209.jpg.chip.jpg","40","male","","","28.6","-11.40"
"29_0_1_20170113150655423.jpg.chip.jpg","29","male","29.707963943481445","0.71","28.6","-0.40"
"28_1_1_20170113012508729.jpg.chip.jpg","28","female","","","28.6","0.60"
"2_0_0_20170110211511626.jpg.chip.jpg","2","male","0.9749876260757446","-1.03","",""
"39_1_1_20170116160927002.jpg.chip.jpg","39","female","","","",""
"1_1_3_20161220145210271.jpg.chip.jpg","1","female","","","9.1","8.10"
"23_1_2_20170116173241444.jpg.chip.jpg","23","female","26.277315139770508","3.28","29.6","6.60"
"35_0_0_20170117171451970.jpg.chip.jpg","35","male","","","34.5","-0.50"
"38_1_2_20170116192323993.jpg.chip.jpg","38","female","","","29.1","-8.90"
